year,month,day,high,low
2017,4,6,30°,19°
2017,4,7,29°,19°
2017,4,8,26°,18°
2017,4,9,23°,18°
2017,4,10,28°,18°
2017,4,11,28°,17°
2017,4,12,26°,17°
2017,4,13,30°,18°
2017,4,14,22°,19°
2017,4,15,27°,17°
2017,4,16,27°,18°
2017,4,17,26°,19°
2017,4,18,27°,19°
2017,4,19,26°,17°
2017,4,20,23°,19°
2017,4,21,27°,17°
2017,4,22,28°,18°
2017,4,23,30°,19°
2017,4,24,25°,19°
2017,4,25,21°,18°
2017,4,26,25°,15°
2017,4,27,26°,15°
2017,4,28,28°,22°
2017,4,29,27°,19°
2017,4,30,25°,20°
2017,5,1,26°,21°
2017,5,2,25°,17°
2017,5,3,26°,17°
2017,5,4,23°,18°
2017,5,5,26°,19°
2017,5,6,25°,18°
2017,5,7,25°,17°
2017,5,8,22°,17°
2017,5,9,25°,17°
2017,5,10,23°,17°
2017,5,11,26°,17°
2017,5,12,27°,18°
2017,5,13,27°,19°
2017,5,14,25°,18°
2017,5,15,27°,18°
2017,5,16,27°,17°
2017,5,17,27°,18°
2017,5,18,28°,20°
2017,5,19,29°,19°
2017,5,20,25°,19°
2017,5,21,27°,18°
2017,5,22,22°,20°
2017,5,23,29°,18°
2017,5,24,29°,18°
2017,5,25,29°,19°
2017,5,26,30°,21°
2017,5,27,28°,19°
2017,5,28,28°,18°
2017,5,29,26°,20°
2017,5,30,26°,19°
2017,5,31,26°,20°
2017,6,1,29°,19°
2017,6,2,29°,19°
2017,6,3,29°,19°
2017,6,4,26°,19°
2017,6,5,30°,19°
2017,6,6,29°,19°
2017,6,7,24°,19°
2017,6,8,26°,17°
2017,6,9,27°,17°
2017,6,10,28°,18°
2017,6,11,25°,18°
2017,6,12,24°,16°
2017,6,13,26°,17°
2017,6,14,26°,19°
2017,6,15,25°,19°
2017,6,16,26°,17°
2017,6,17,25°,17°
2017,6,18,26°,18°
2017,6,19,27°,17°
2017,6,20,25°,17°
2017,6,21,25°,18°
2017,6,22,27°,16°
2017,6,23,27°,17°
2017,6,24,26°,17°
2017,6,25,27°,18°
2017,6,26,26°,17°
2017,6,27,26°,17°
2017,6,28,26°,18°
2017,6,29,28°,18°
2017,6,30,27°,18°
2017,7,1,29°,18°
2017,7,2,24°,19°
2017,7,3,27°,18°
2017,7,4,28°,19°
2017,7,5,28°,19°
2017,7,6,27°,19°
2017,7,7,29°,18°
2017,7,8,29°,19°
2017,7,9,27°,18°
2017,7,10,27°,19°
2017,7,11,26°,18°
2017,7,12,27°,18°
2017,7,13,27°,17°
2017,7,14,26°,20°
2017,7,15,26°,18°
2017,7,16,27°,18°
2017,7,17,25°,19°
2017,7,18,28°,18°
2017,7,19,29°,18°
2017,7,20,26°,17°
2017,7,21,28°,17°
2017,7,22,29°,18°
2017,7,23,29°,19°
2017,7,24,30°,18°
2017,7,25,30°,18°
2017,7,26,29°,18°
2017,7,27,30°,18°
2017,7,28,27°,19°
2017,7,29,29°,19°
2017,7,30,25°,19°
2017,7,31,28°,19°
2017,8,1,29°,18°
2017,8,2,30°,18°
2017,8,3,30°,18°
2017,8,4,25°,19°
2017,8,5,28°,17°
2017,8,6,30°,17°
2017,8,7,28°,19°
2017,8,8,29°,18°
2017,8,9,27°,18°
2017,8,10,30°,19°
2017,8,11,24°,17°
2017,8,12,26°,17°
2017,8,13,30°,19°
2017,8,14,30°,19°
2017,8,15,30°,19°
2017,8,16,29°,18°
2017,8,17,29°,18°
2017,8,18,27°,17°
2017,8,19,25°,17°
2017,8,20,26°,18°
2017,8,21,29°,18°
2017,8,22,27°,18°
2017,8,23,27°,18°
2017,8,24,27°,18°
2017,8,25,28°,18°
2017,8,26,26°,18°
2017,8,27,27°,17°
2017,8,28,27°,18°
2017,8,29,26°,18°
2017,8,30,27°,18°
2017,8,31,29°,18°
2017,9,1,30°,17°
2017,9,2,26°,18°
2017,9,3,27°,15°
2017,9,4,29°,17°
2017,9,5,29°,17°
2017,9,6,29°,18°
2017,9,7,28°,19°
2017,9,8,24°,18°
2017,9,9,26°,18°
2017,9,10,25°,18°
2017,9,11,30°,17°
2017,9,12,29°,18°
2017,9,13,27°,18°
2017,9,14,26°,18°
2017,9,15,26°,18°
2017,9,16,29°,19°
2017,9,17,27°,19°
2017,9,18,29°,18°
2017,9,19,29°,18°
2017,9,20,26°,19°
2017,9,21,28°,18°
2017,9,22,29°,19°
2017,9,23,28°,18°
2017,9,24,26°,18°
2017,9,25,27°,18°
2017,9,26,25°,17°
2017,9,27,29°,17°
2017,9,28,25°,19°
2017,9,29,28°,17°
2017,9,30,22°,18°
2017,10,1,26°,16°
2017,10,2,27°,19°
2017,10,3,26°,18°
2017,10,4,22°,17°
2017,10,5,23°,18°
2017,10,6,26°,17°
2017,10,7,26°,18°
2017,10,8,28°,17°
2017,10,9,25°,17°
2017,10,10,26°,15°
2017,10,11,27°,16°
2017,10,12,26°,17°
2017,10,13,27°,18°
2017,10,14,27°,19°
2017,10,15,30°,19°
2017,10,16,28°,20°
2017,10,17,29°,19°
2017,10,18,29°,19°
2017,10,19,29°,20°
2017,10,20,29°,20°
2017,10,21,28°,18°
2017,10,22,25°,19°
2017,10,23,26°,18°
2017,10,24,22°,18°
2017,10,25,25°,17°
2017,10,26,22°,17°
2017,10,27,28°,17°
2017,10,28,21°,17°
2017,10,29,23°,17°
2017,10,30,22°,15°
2017,10,31,26°,17°
2017,11,1,28°,17°
2017,11,2,27°,18°
2017,11,3,25°,18°
2017,11,4,23°,16°
2017,11,5,28°,17°
2017,11,6,28°,18°
2017,11,7,24°,15°
2017,11,8,28°,18°
2017,11,9,28°,18°
2017,11,10,28°,18°
2017,11,11,28°,18°
2017,11,12,28°,18°
2017,11,13,25°,19°
2017,11,14,26°,18°
2017,11,15,24°,18°
2017,11,16,27°,17°
2017,11,17,26°,18°
2017,11,18,26°,18°
2017,11,19,26°,18°
2017,11,20,25°,18°
2017,11,21,26°,19°
2017,11,22,27°,18°
2017,11,23,28°,18°
2017,11,24,24°,18°
2017,11,25,26°,17°
2017,11,26,27°,19°
2017,11,27,25°,19°
2017,11,28,28°,18°
2017,11,29,26°,19°
2017,11,30,27°,18°
2017,12,1,26°,18°
2017,12,2,26°,16°
2017,12,3,27°,18°
2017,12,4,27°,18°
2017,12,5,28°,19°
2017,12,6,29°,19°
2017,12,7,28°,19°
2017,12,8,26°,19°
2017,12,9,27°,19°
2017,12,10,25°,18°
2017,12,11,24°,18°
2017,12,12,25°,17°
2017,12,13,28°,16°
2017,12,14,28°,17°
2017,12,15,28°,18°
2017,12,16,28°,18°
2017,12,17,29°,19°
2017,12,18,28°,18°
2017,12,19,29°,17°
2017,12,20,29°,18°
2017,12,21,29°,19°
2017,12,22,29°,19°
2017,12,23,28°,19°
2017,12,24,24°,19°
2017,12,25,27°,19°
2017,12,26,25°,18°
2017,12,27,26°,18°
2017,12,28,24°,17°
2017,12,29,23°,18°
2017,12,30,27°,18°
2017,12,31,25°,17°
2018,1,1,24°,18°
2018,1,2,25°,18°
2018,1,3,28°,19°
2018,1,4,27°,17°
2018,1,5,26°,17°
2018,1,6,26°,18°
2018,1,7,27°,16°
2018,1,8,28°,18°
2018,1,9,23°,17°
2018,1,10,26°,16°
2018,1,11,27°,16°
2018,1,12,26°,17°
2018,1,13,24°,18°
2018,1,14,25°,18°
2018,1,15,25°,17°
2018,1,16,24°,17°
2018,1,17,25°,17°
2018,1,18,24°,18°
2018,1,19,25°,18°
