tablescraper-selected-row href,text-right,name,txt,progressBarTxt,progressBarTxt 2,progressBarTxt 3,text-center,kills,deaths,assists,text-center 2
https://www.leagueofgraphs.com/es/champions/builds/draven,88.,Draven,AD Carry,5.0%,50.3%,3.1%,"/
                            
                            /",7.2,6.1,5.8,0.0055
https://www.leagueofgraphs.com/es/champions/builds/evelynn,89.,Evelynn,Jungler,4.9%,49.3%,12.4%,"/
                            
                            /",8.1,5.3,6.5,0.0006
https://www.leagueofgraphs.com/es/champions/builds/ryze,90.,Ryze,"Mid, Top",4.8%,46.2%,0.3%,"/
                            
                            /",5.2,5.7,6.0,0.0009
,,,,,,,,,,,
https://www.leagueofgraphs.com/es/champions/builds/rammus,91.,Rammus,Jungler,4.8%,52.2%,7.3%,"/
                            
                            /",4.3,5.2,10.9,0.0000
https://www.leagueofgraphs.com/es/champions/builds/masteryi,92.,Maestro Yi,Jungler,4.7%,48.2%,6.5%,"/
                            
                            /",8.4,6.5,4.7,0.0196
https://www.leagueofgraphs.com/es/champions/builds/sion,93.,Sion,Top,4.7%,50.4%,0.2%,"/
                            
                            /",4.2,5.6,8.1,0.0002
https://www.leagueofgraphs.com/es/champions/builds/reksai,94.,Rek'Sai,Jungler,4.6%,49.9%,2.2%,"/
                            
                            /",7.3,5.8,6.8,0.0005
https://www.leagueofgraphs.com/es/champions/builds/nasus,95.,Nasus,Top,4.5%,51.3%,2.5%,"/
                            
                            /",4.7,4.9,5.2,0.0016
https://www.leagueofgraphs.com/es/champions/builds/leblanc,96.,LeBlanc,Mid,4.4%,49.3%,2.9%,"/
                            
                            /",6.5,4.4,6.3,0.0005
https://www.leagueofgraphs.com/es/champions/builds/samira,97.,Samira,AD Carry,4.4%,46.4%,11.5%,"/
                            
                            /",7.7,6.5,6.2,0.0152
https://www.leagueofgraphs.com/es/champions/builds/xerath,98.,Xerath,"Support, Mid",4.3%,48.8%,0.7%,"/
                            
                            /",5.1,5.1,8.9,0.0002
https://www.leagueofgraphs.com/es/champions/builds/soraka,99.,Soraka,Support,4.2%,49.2%,0.6%,"/
                            
                            /",0.9,5.2,13.0,0.0000
https://www.leagueofgraphs.com/es/champions/builds/jayce,100.,Jayce,Top,4.2%,47.6%,1.0%,"/
                            
                            /",5.6,6.0,5.5,0.0011
https://www.leagueofgraphs.com/es/champions/builds/ornn,101.,Ornn,Top,4.2%,50.3%,0.7%,"/
                            
                            /",3.4,4.7,8.4,0.0001
https://www.leagueofgraphs.com/es/champions/builds/veigar,102.,Veigar,Mid,4.2%,50.1%,0.4%,"/
                            
                            /",6.5,5.6,6.7,0.0008
https://www.leagueofgraphs.com/es/champions/builds/poppy,103.,Poppy,"Top, Jungler",4.2%,51.8%,1.2%,"/
                            
                            /",4.6,4.9,7.9,0.0003
https://www.leagueofgraphs.com/es/champions/builds/skarner,104.,Skarner,Jungler,4.1%,52.3%,2.3%,"/
                            
                            /",3.6,4.4,10.6,0.0001
https://www.leagueofgraphs.com/es/champions/builds/zoe,105.,Zoe,Mid,4.1%,48.7%,2.4%,"/
                            
                            /",5.9,5.0,6.8,0.0006
,,,,,,,,,,,
https://www.leagueofgraphs.com/es/champions/builds/urgot,106.,Urgot,Top,4.0%,52.5%,1.4%,"/
                            
                            /",6.3,5.5,5.2,0.0011
https://www.leagueofgraphs.com/es/champions/builds/velkoz,107.,Vel'Koz,"Mid, Support",4.0%,50.7%,0.3%,"/
                            
                            /",5.0,5.4,8.4,0.0002
https://www.leagueofgraphs.com/es/champions/builds/syndra,108.,Syndra,Mid,3.9%,46.2%,0.8%,"/
                            
                            /",5.3,5.4,6.4,0.0003
https://www.leagueofgraphs.com/es/champions/builds/rakan,109.,Rakan,Support,3.9%,49.3%,0.2%,"/
                            
                            /",1.6,5.1,13.5,0.0000
